frequency|word
2|"""For"
2|1914–1918
1|1939–1945
2|1998
2|2002
1|2006
2|2009
2|2016
200|?
2|Academy
2|Airport
1|Albert
2|Alliance
4|America
1|American
1|Antilope
1|Aquarium
2|Arabia
2|Arts
2|Assembly
2|Association
2|Aumelas
1|Austria
1|Azay-le-Brûlé
1|Bahamas
1|Baroncelli
1|Bedales
2|Beddome
1|Belarus
1|Belgium
1|Blackhawks
2|Bonnac
1|Bort-l'Étang
1|Boston
2|Bourguignons
1|Bourmont
6|Brazil
1|Brisbane
1|Britain
1|Brooklyn
1|Byzantine
1|Cabinet
1|California
1|Callejo
2|Cambridge
1|Campo
1|Canada
1|Capponi
1|Carnières
2|Casoria
1|Cay
1|Chaban-Delmas
1|Chamber
2|Chapel
1|Chicago
1|Chien
1|Chihuahua
1|Cinematography
1|Cleveland
1|Coast
1|Commandeur
1|Congonhas-São
2|Copenhagen
2|"Corruption"""
1|Cougars
1|County
1|Crab
5|Croix
4|Cross
1|Crosse
2|Crown
2|Czech
3|Côte
1|Dalou
1|De
2|Dehesas
2|Democratic
3|Denmark
1|Denmark,
1|Deputies
1|Derbyshire
1|Diana
1|Dominican
1|Dominica–France
2|Dubbo
2|East
2|Ecclesia
1|Eeklo
1|Egypt,
1|Egyptian
1|England
1|Esbareich
1|Estrées-Saint-Denis
1|Evangelists
1|Federal
1|Federation,
1|Fernando
1|Ferrère,
2|Fieschertal
2|Finnish
1|Folie-Regnault
1|Fossacesia
2|Fourdrain
1|France,
2|Freedom
4|French
1|Front
1|Gabon,
1|Gallen
1|Gang
1|Georgia,
1|Gerasimov
2|German
4|Germany
1|Giffoni
1|Goncourt
1|Gouaux-de-Luchon
4|Grand
2|Grand-Vabre,
1|Great
2|Green
1|Grenada
1|Grenada,
1|Grenadines
2|Guadix
1|Heer
1|Heerlen
1|Herveo
1|High
1|Hockey
3|Honour
2|Hopkins
1|Hydro-Québec
1|Ice
1|Idræt
2|Institute
2|Iowa
1|Ireland
1|Iron
1|Isfahan
1|Italian
1|Italy
3|Italy,
2|Johns
1|Jonschwil
1|Jumping
2|Junhac
1|Keighley
1|Kensington
1|Keri
1|Kiel
1|Kielce
1|Kingdom
2|Kingdom,
1|Knight's
1|Kraków
1|Krasnodar
2|Kálvin
3|La
1|Landtag
2|Lawlessness
2|Legion
1|Lenin
1|Lettres‎,
1|León
1|Lighthouse
1|Lillehammer
1|Liverpool
1|Lozère
2|Lugo
1|Luís
2|Maine
2|Manses
1|Marte
1|McCarthy
2|Melsheim
2|Mercy-le-Bas
2|Merit
1|Milano
1|Montreal
2|Morino
2|Moult
2|Mount
2|Mourjou
1|Moyeuvre-Grande
1|Nanjing
5|National
1|Navy
1|Nazi
4|Netherlands
1|Netherlands,
1|New
1|Norroy-lès-Pont-à-Mousson
1|North
1|Nuit
1|Nusco
2|Oak
1|Odense
4|Officer
1|Old
1|Olius
7|Olympics
6|Order
1|Oregon
1|Paleochristian
2|Park
5|Party
2|Party,
1|Paucourt
1|Paulo
6|People's
1|Philippine
1|Photography
1|Piana,
1|Poland
1|Policlinico
2|Pontifice
1|Prairie
1|Prix
2|Pro
1|Province
1|Puy-de-Dôme
1|Railways
1|Reghena
5|Republic
1|Revolution
1|Rhine-Westphalia
1|Richelieu
1|Rigny-Saint-Martin
1|Row
1|Rugby
4|Russia
2|Saint-Hippolyte
2|Saint-Pierre-du-Jonquet
1|Saint-Victor
1|Santiago
2|Saudi
2|School
1|Sciences
1|Scionzier
3|Senate
1|Serino
1|Sesto
1|Sokhta
1|St.
1|Stade
1|Stadium
1|Stanford
4|State
6|States
1|Stockholm
1|Studerendes
1|Studio
1|Sully
2|Summer
1|São
1|Tanzania
1|Taree
1|Technologies
1|Technology
1|Tennis
1|The
1|Theresienhöhe
1|Thessaloniki
2|Tsardom
1|Umbriatico
2|Union
8|United
11|University
2|Upper
1|Ur
1|Valdidentro
1|Valle
2|Verdun
2|Vimont,
2|Visite
200|Which
1|Wing,
5|Winter
3|Wisconsin
2|Yale
2|Yemen
1|Zagreb
1|Zealand
34|a
1|actions
157|administrative
1|al
40|and
41|are
1|arms
2|at
2|athletics
32|belong
2|border
1|border,
1|coat
3|collections
3|country
1|d'Ivoire
1|d'Ivoire–Ghana
1|d'Ivoire–Guinea
9|de
1|debout
2|des
1|di
6|do
26|does
1|du
1|educational
2|election,
3|et
1|events
2|families
5|football
2|former
5|guerre
1|human
135|in
1|institutions
127|is
1|la
1|landforms
43|located
7|member
1|monuments
1|museums
5|national
1|occupations
82|of
1|organizations
34|part
24|political
43|present
2|presidential
1|railway
1|recurring
1|rue
48|situated
1|sporting
1|state
2|states
1|stations
1|subdivisions
5|team
1|terrains
30|territories
150|territory
22|the
32|to
2|tér
1|wing
1|with
2|without
1|Ōtsu
