frequency|word
200|?
1|Alarcón
1|Albal,
1|Alberite
1|Alboraya,
1|Aldea
1|Algarra
1|Almodóvar
1|Almàssera
1|Altobuey,
20|America
1|Andorra
1|Arenas
1|Arévalo
4|Australia
5|Austria
1|Austria,
1|Avinyó
1|Azerbaijan
3|Barcelona
1|Barchín
2|Belgium
3|Berlin
1|Blanques,
1|Bordils
1|Buñuel
1|Calders
1|California
1|Campillo
1|Canada
1|Carracedelo
1|Castelltersol
1|Catalonia
1|Catarroja,
1|Cervelló
1|Cimanes
5|City
1|Coloma
4|Czech
4|D.C.
2|Denmark
1|El
2|Els
1|Fago
31|France
1|Gabaldón,
1|Garray
1|Geneva
24|Germany
1|Governor
1|Gregori
1|Güeñes,
1|Hamburg
1|Hoyo
1|Iceland
1|Igüeña
4|India
2|Japan
2|Karlsruhe
12|Kingdom
1|Korea
1|Lanjarón
2|London
2|Madrid
1|Meerbusch
1|Meliana
3|Mexico
3|Minister
1|Mombeltrán
1|Moncada,
1|Monistrol
1|Montesclaros
1|Motilla
1|Mura,
1|Murtas
1|Museros,
1|Málaga
1|Navamorcuende
4|Netherlands
2|Netherlands,
2|New
1|North
3|Norway
1|Oakland
1|Olius
1|Oregon
1|Palancar,
1|Payerne
1|Pedro,
1|Pere
1|Phoenix
1|Picazo
1|Pinar,
1|Pinto
1|Pira
4|Poland
2|Prats
3|Prime
1|Quartell
2|Rei
4|Republic
1|Rey
1|Sabadell
1|San
2|Sant
1|Santa
1|Sierra
1|Solera
3|Spain
20|States
2|Stockholm
4|Sweden
1|Syria
1|Tavernes
1|Tejar
1|Tennessee
1|Torelló
1|US
2|Ukraine
31|United
1|Valverdejo,
1|Viladasens
1|Vilanant
1|Villarrodrigo
1|Vinalesa,
4|Washington,
66|What
134|Which
1|Wisconsin
1|Yecla
2|York
4|administrative
11|and
12|are
68|as
33|authority
2|award
194|by
1|cities
9|de
5|del
128|fulfilled
68|government
4|has
2|have
68|head
66|held
182|is
1|la
4|mayor
2|municipality
147|occupation
12|occupations
164|of
65|office
33|organ
63|political
8|serve
54|serves
1|territories
4|territory
62|that
253|the
3|title
