rel|freq
P106|4039
P21|3959
P19|3189
P27|2976
P641|2204
P20|1899
P17|1501
P39|1327
P703|1168
P54|1097
P1412|1086
P102|1077
P47|1074
P69|1011
P734|993
P361|989
P166|961
P702|941
P937|912
P136|887
P681|851
P425|800
P688|749
P40|746
P495|713
P22|698
P26|686
P463|685
P138|675
P161|669
P921|633
P6|572
P108|551
P36|540
P1344|531
P163|511
P57|505
P1376|495
P159|492
P190|492
P682|487
P276|480
P7|468
P30|463
P551|416
P101|409
P119|407
P1001|400
P610|398
P1313|397
P364|389
P607|388
P710|378
P58|370
P127|366
P194|362
P85|355
P86|349
P1196|329
P162|321
P35|318
P735|316
P800|313
P840|310
P740|308
P25|305
P9|304
P680|301
P140|300
P112|296
P915|290
P50|289
P264|285
P172|280
P344|260
P1346|253
P180|247
P417|241
P123|238
P1532|237
P137|231
P206|224
P291|219
P512|214
P144|213
P509|211
P37|197
P241|194
P706|186
P170|183
P175|181
P1071|160
P684|159
P793|158
P410|152
P1411|151
P462|150
P272|150
P38|150
P466|144
P178|141
P1066|140
P1303|138
P176|133
P488|129
P750|126
P530|123
P84|113
P184|112
P135|112
P1441|109
P1038|106
P186|101
P237|99
P1408|99
P400|99
P1040|98
P931|96
P53|95
P61|91
P1444|89
P2416|86
P355|77
P103|77
P427|77
P407|76
P802|74
P991|73
P737|72
P941|69
P183|68
P749|68
P859|68
P452|66
P88|66
P689|65
P2175|65
P1142|65
P437|63
P366|63
P1050|62
P2439|61
P609|61
P115|59
P1435|58
P725|57
P1427|57
P629|54
P2554|54
P611|52
P664|51
P421|51
P674|51
P1027|50
P287|50
P449|50
P451|50
P1433|50
P2293|49
P1454|47
P1923|47
P504|46
P2176|45
P129|45
P122|41
P1542|40
P532|39
P282|38
P195|37
P411|37
P676|37
P376|37
P825|35
P189|35
P2348|35
P97|34
P870|34
P1056|33
P559|32
P1431|29
P2695|29
P1383|29
P669|29
P805|28
P1037|28
P748|27
P828|27
P1995|26
P121|25
P841|24
P98|24
P767|23
P403|22
P1533|21
P408|21
P118|20
P1416|19
P485|19
P566|18
P126|18
P1434|18
P306|17
P647|15
P371|15
P479|15
P169|15
P110|14
P197|13
P3179|13
P974|13
P1576|12
P1884|12
P520|12
P769|12
P289|11
P516|11
P1028|11
P1080|11
P1990|11
P81|11
P1750|10
P196|10
P177|10
P193|10
P608|9
P636|9
P277|8
P1445|8
P248|7
P413|7
P201|7
P3085|7
P2515|6
P3279|6
P200|6
P467|6
P469|6
P414|5
P1029|5
P658|5
P157|5
P16|5
P275|5
P2079|4
P780|4
P1399|4
P655|4
P3091|4
P790|3
P2522|3
P397|3
P3173|3
P149|2
P3195|2
P1192|2
P837|2
P3320|2
P1389|2
P1382|2
P1403|2
P3301|1
P1885|1
P375|1
P3150|1
P113|1
P812|1
P1462|1
P768|1
