frequency|word
1|!
1|&
1|'Em
1|'Til
2|2
1|2,
1|2:
2|30
1|4
200|?
6|A
1|Adler
1|Admirer
2|Affair
1|Afrikaneren
1|Again,
2|Against
1|Agent
1|Akira
1|Aladdin
1|Alekos
1|Alibi
1|Alice
1|Alive
1|Allen
1|Almost
1|American
1|Andersson
1|André
1|Angel
1|Anna
1|Anthony
1|April
1|Aquarium
3|Are
1|Argo
1|Artist
1|Assassination
1|Assisi
1|Attention
1|Back
1|Bakshi
1|Bakugyaku
1|Bana
1|Bara
1|Barbagia,
1|Barbed
1|Barrison
1|Barry
1|Batory
1|Battery
1|Bayside
1|Bean,
1|Because
1|Beethoven's
2|Being
1|Benches
1|Berlin
1|Bessie's
1|Best
1|Bettina
1|Big
1|Bike
1|Billy
1|Bird
1|Blessed
1|Blind
1|Blizzard
2|Blonde
1|Bloom
1|Blue
1|Boelan
2|Bombshell
1|Bottle
1|Bourne
1|Branching
1|Brdečka
1|Break
1|Brialy
1|Bride
1|Bridge
1|Bring
1|Broadway
1|Brother
1|Buff
1|Burns
1|Byomkesh
1|Cannibals
1|Canyon
1|Chandran
1|Changer,
1|Chaplin,
1|Charitro
1|Chinese
1|Christophe
1|Church
1|Circle
1|Clay
1|Clyde
1|Cobra
1|Cole
2|Comedy
1|Commander:
1|Conan:
1|Contract
1|Coriolanus
1|Cottage
1|Court
1|Cousin
1|Cousine
1|Crossing
1|Cry
4|Day
1|Days
2|Deal
2|Death
2|Detective
1|Di
1|Diamonds
1|Diaries
1|Die
1|Dimensional
1|Disappearance
1|Distance
2|Do
1|Dogtown
1|Dolomites
1|Don
1|Dorf
1|Dory,
1|Double
1|Dr.
2|Dream
1|Drummer
1|Einmal
1|Elia
1|Enakkaga
1|England,
1|Entourage,
1|Eve
1|Every
1|Evil,
1|Fabrice
1|Faceless
1|Familia
1|Family
1|Fango
1|Fantômas
1|Far
1|Feldzug
1|Felix
2|Fighting
1|Finding
1|Five
1|Fog
1|Force
1|Forest
1|Fortune
1|Found
1|Freddy
1|Freedom,
1|Friend
1|Frič
1|From
2|Game
1|Garam
1|Garci
1|Genevieve
1|Geronimi
1|Giant
1|Goal
1|Grand
1|Guns
1|Gyeongju
1|Gypsies
1|Halloween
1|Harabati
1|Harrison
1|Heart
1|Heartland
1|Heat
1|Heaven
1|Hell
1|Hercules
1|Heroes,
1|Hired
1|Hole
1|Hollywood
1|Hotel
1|House
1|I
1|II:
1|Identity,
1|Idols
1|Il
2|In
1|Incognito
1|Independence
1|India
1|Innocents
1|Inside
1|Iron
1|Isabelita
1|Islam
1|Island
1|Ismail
1|Italian
1|Jack
1|Jamba
1|Jan
1|Jean-Claude
1|Jiří
1|Job
1|Jodi,
1|Jonathan
1|Jorge
1|José
1|Journey
1|K.
1|K2
1|Kaalia
1|Kaathiru
1|Kabhie
1|Kabhiee
1|Kalponik
1|Kelly's
2|Kid
1|Killer
1|Killing
1|Kings
1|Kirche
2|Kiss
1|Kissed
1|Kunjaadu
1|Kurosawa
1|L'Homme
