frequency|word
1|"""For"
1|10th
1|11th
9|1st
1|2006
2|2016
1|4th
1|7th
1|80
961|?
7|A.
1|A.H.
1|AIA
1|Aachen
1|Abaza
1|Abduraxmonovna
1|Abella
1|Abercorn
1|Ablaincourt-Pressoir
1|Abraham
1|Abram
1|Abrial
16|Academy
1|Aciman
4|Actor
3|Actor,
3|Actors
1|Actress
1|Ada
2|Adam
2|Adenauer,
4|Adolf
1|Adrien
1|Advancing
1|Aernout
1|Ailly-sur-Noye
1|Akhurbek
1|Aki
1|Al
4|Alan
1|Alasdair
1|Alberghetti
7|Albert
1|Alberto
2|Albor
2|Albrecht
1|Alejandro
1|Aleksander
3|Aleksandr
1|Aleksandra
1|Aleksandrovich
1|Aleksey
10|Alexander
1|Alexandr
1|Alfonso
4|Alfred
2|Alfthan
1|Algarotti
1|Ali
1|Alice
1|Alinsky
1|Allain
2|Alphonse
2|Altrincham
1|Alyque
1|Amand
1|Amelia
1|America:
3|American
1|Amé-Thérèse-Joseph
2|Anand
2|Anatoly
2|Anderson
2|Andreas
1|Andrei
1|Andrew
2|Andreyevich
1|Andrzej
6|André
1|Andy
1|Ange-Pierre
1|Angela
1|Angela's
1|Angelopoulos
3|Anna
3|Anne
1|Annette
1|Annie
1|Anosov
2|Anthony
3|Antoine
5|Anton
2|Antonio
1|Apalikov
1|Apanasenko
1|April
1|Aquino
1|Arad
1|Aramayo
1|Archduke
1|Archibald
1|Architecture
2|Aretha
1|Arkin
1|Armand
1|Armed
1|Armstrong
4|Army
1|Arne
2|Arnold
1|Around
1|Arrighi
1|Art
5|Arthur
1|Artist
2|Arts
1|Arturo
1|Arvo
1|Ash
1|Ashes
2|Ashley
1|Ashurbeyli
1|Askin
1|Astaškin
1|Astbury
4|Athlete
1|Athlone
2|August
1|Auguste
1|Auguste-Philippe
1|Augustin-Joseph
1|Augustus
2|Aurel
1|Austria
1|Avatar
36|Award
1|Award,
1|Award—Artist
1|Ayrault
5|BAFTA
1|Bach
3|Bachmann
1|Baetens
1|Bagensky
1|Bajaj
1|Balande
1|Baltia
1|Band/Duo/Group
1|Bandaman
1|Banderas
1|Baptist
1|Baptiste
1|Bara
2|Barack
1|Baratynskiy
1|Barclay
1|Bardem
1|Barnick
1|Barolo
6|Baron
1|Baronet
1|Barrie
1|Barry
1|Barseghian
1|Bartels
1|Barth
1|Bartłomiej
2|Basel
1|Basic
2|Bassée
1|Bastrykin
1|Battle
1|Baur
1|Baynes
1|Bazarey
1|Bazorkin
1|Beckenbauer
1|Bedford
1|Begma
2|Beharry
1|Belleville-et-Châtillon-sur-Bar
1|Belloy-en-Santerre
1|Benfey
1|Benigno
1|Benjamin
1|Beregovoy,
1|Bereijo
1|Bergmann
1|Berlioz
3|Bernard
1|Bernd
1|Bernhard
1|Berry
1|Besnehard
1|Bessonov
29|Best
1|Bewitched
1|Bhuyan
1|Białas
1|Bieniek
1|Bignon
1|Bilderling
2|Bill
1|Binarville
1|Birkhead
1|Birkmeyer
1|Bismarck
1|Black-and-White
1|Bleton
1|Board
1|Bob
1|Bogumił
1|Bohdan
1|Bohnstedt
1|Boissel
1|Bondur
1|Bone
1|Borich
1|Boringdon
4|Boris
1|Borisovich
1|Borodyansky
1|Bose
1|Bosmans
1|Bost
1|Bosustow
