"Index","UID1","Ques1","Ans1","UID2","Ques2","Ans2"
"0","398","Which language was used originally for the creation of ...And Justice for All ?","English","7652","Which print expresses farmer ?","Return from the Fields"
"1","11881","Which book has Ruthenian as its original language of creation ?","Bible of Francysk Skaryna","8133","What is demonstrated in Flag of Niue ?","Crux"
"2","54130","Which television program is known to be originally created in Serbia language ?","Kitchen","11331","Which painting expresses merchant ?","Sermon and Deeds of the Antichrist"
"3","7","What battle was Cal Dorsett a part of ?","World War II","12810","Which taxon is depicted in second coat of arms of Elburg ?","Prunus spinosa"
"4","424","Which glittering generality did Juan José Gómez take part in ?","Mexican Revolution","13498","What is depcited in sports film ?","sport"
"5","587","What was the war that Charles Adam Heckman took part in","American Civil War","13758","Which symbol demonstrates Luke the Evangelist ?","Cross of Saint Euphrosyne"
"6","206","What event was Japan a participant of ?","World War II","14705","Which artwork series expresses physician ?","Portrait of Dr. Gachet"
"7","583","Which sport discipline has Caroline Wozniacki as its participant ?","2016 Australian Open – Women's Singles","15951","Which works of art demonstrate Frédéric Chopin ?","Frédéric Chopin"
"8","1074","Which event did Angélique Bègue participate in ?","70 years / 70 works of art","19091","Which furniture demonstrates Society of Jesus ?","Southern Barbarian (Nanban-jin) Boat at Shore"
"9","1550","Who attended World War I ?","Germany","19280","Which information depicts Luke the Evangelist ?","Saint Luke painting the Virgin"
"10","1910","What event did Republican Party particiate in ?","2016 Republican Party presidential primaries","19524","Which collectable expressess Antarctica ?","The heart of the Antarctic"
"11","10912","Which former country was a participant of World War I ?","Ottoman Empire","19653","Which application demonstrates association football ?","Match Day II"
"12","23383","Who attended Siege of Kobanê ?","People Protection Units","22811","Which coat of arms expresses Catherine of Alexandria ?","coat of arms of Ulestraten"
"13","28790","Which artist participated in World War I ?","Germany","22817","Which media expresses singer ?","Chanteur florentin du XVe siècle"
"14","574","Which person wrote the script for La bella Otero ?","La Belle Otero","22917","Which print depicts Japan ?","The Fifty-Three Stations of the Tōkaidō: Station #49: Sakanoshita"
"15","679","Who was the screenwriter for The Woman with a Broken Nose ?","Srđan Koljević","25252","Which literary work expresses United States Army ?","The Liberation Trilogy"
"16","1154","Who wrote the screenplay for Flirtation Walk ?","Delmer Daves","26626","Which text depicts architect ?","Billiards at Half-past Nine"
