frequency|word
200|?
1|Adolf
1|Alcântara
1|Alexander
1|Alfyorov
1|Alonzo
1|Amsterdam
1|Anatoli
1|Anders
1|Andersen
1|Andrée
1|Anglada
1|Anita
2|Anna
1|Anne
1|Apollo
2|Aragon
1|Arceo
1|Arnold
1|Ashton
1|Atterbury
1|August
1|Augustus
1|Avetik
1|Bancroft
3|Bartolomeo
1|Bartosik
1|Bass
1|Batory
1|Beau
1|Beaulieu-Marconnay
1|Beckett
1|Belfort
2|Beloyartsev
1|Bengt
1|Benjamin
3|Berlin
2|Beryl
1|Bibb
1|Billy
1|Blokhin
2|Boris
1|Boroday
1|Borrel
1|Bourbonnaud
1|Bramwell
1|Branzell
1|Bremen
1|Brinsley
1|Browne
1|Bufton
1|Burch
1|Burdenko
2|Burnett
1|Bystrolyotov
1|C.
1|Camille
2|Carl
1|Carmine
1|Christian
2|City
1|Clarke
1|Clarkson
1|Clary
1|Claud
1|Cooke
1|Coral
1|Cornelius
1|Correns
2|Cristofori
1|DJ
1|Dalén
1|Damsleth
2|Davis
1|DeSapio
1|Degas
1|Denmark
1|Denver
1|Dmitri
1|Don
1|Doronin
1|Duchess
2|Duke
1|Dymszówna
2|E.
1|Eaton
1|Edens
1|Edgar
1|Edlén
1|Edmond
1|Eduard
1|Edward
1|Edwin
1|Ejnar
1|Eleanor
1|Elfrida
1|Elisabeth
1|Emmanuel
1|Eriksson
1|Ernst
1|Estarriol
1|Fabriano
2|Felix
1|Filipowicz
1|Fox
1|Francis
1|Franciszek
1|František
1|Frazer
1|Free
1|Freiherr
1|Fáy
1|Geleskul
1|Gennadi
1|Georg
2|George
1|Georges
1|Georgi
1|German
1|Glenn
1|Gradenigo
1|Grand
1|Gude
1|Gustaf
1|Gustave
1|Górska
1|Hakkı
1|Hall
1|Hanseatic
2|Hanuš
1|Harald
1|Harlan
1|Hartke
1|Henry
1|Herbert
1|Horace
2|Horne
1|Horowitz
1|Howard
1|Hugh
1|Hupka
1|Hyatt
1|Héctor
1|I
2|II
1|II,
2|III
2|Ignác
1|Inge
1|Irena
1|Irving
1|Isahakyan
1|Ivan
1|Jacqueline
1|Jacques
1|Jadwiga
5|James
5|Jan
1|Jay
3|Jean
1|Jean-Alain
6|John
1|Jones
1|Jordan
1|Joseph
1|Judson
1|Jón
1|Józef
1|Kablé
1|Kaczyńska
1|Kamiński
1|Karl
1|Karol
1|Kelly
1|Key-Åberg
1|Kiel
1|Kiev
1|Kilpatrick
1|Knight
1|Konwicki
1|Kopriva
1|Kornel
1|Kornilov
1|Kraków
1|Kurt
1|L'Herbier
1|Latinik-Vetulani
1|Lazar
2|Legrand
1|Lev
1|Levi-Montalcini
1|Levy
1|Lewoniewski
1|Lieben
2|London
1|Longuet
1|Longworth
1|Lord
1|Louis,
1|Louise
1|Lucille
1|Ludek
1|Lázár
1|Léon
1|M.
1|MacKelvie
1|Machado
1|Mack
3|Madrid
1|Magdalena
1|Maksymilian
1|Mantan
1|Marais
1|Marcel
1|Marie-Vincent
1|Mark
1|Martin
1|Mehdi
1|Merritt
1|Michailowitsch
1|Midler
1|Mokrousov
1|Monaco
1|Monsigny
1|Montana
1|Monturiol
1|Moreland
2|Moscow
1|Mourre
2|Mulready
1|Mustin
1|Myrick
1|Mária
1|Méndez
1|Nancy
1|Naples
1|Narcís
1|Nechuy-Levytsky
1|Nelepp
1|New
1|Nexø
1|Neymark
1|Nicholas
1|Nicosia
1|Nikolai
1|Nikolay
1|Norway
1|Olga
1|Olivier
1|Olszewski
1|Orville
1|Oskar
1|Otis
1|Ove
2|Paris
1|Pat
1|Patrick
1|Patsy
1|Paul
1|Paula
1|Peretti
3|Peter
1|Petrovna
1|Philip
1|Pierre-Alexandre
1|Pieterszoon
1|Polevoy
1|Poliakov
1|Polyakov
1|Porel
1|Preradović
1|Priyomykhov
1|Protsyuk
1|Przanowski
1|Rafael
1|Reimers
1|Renée
1|Richard
1|Ricksen
1|Rita
3|Robert
1|Roger
1|Rolf
2|Roman
1|Romkowski
1|Rozłubirski
3|Russia
1|Rutkowski
1|Safroni-Middleton
1|Saglio
1|Saint-Saëns
1|Sam
1|Samuel
1|Sandro
1|Sauton
1|Schmorl
1|Scotty
1|Segerstedt
1|Sennett
1|Serge
1|Serrurier-Bovy
1|Sheridan
1|Signoret
1|Smith
1|Sophia
1|Sophie
1|Soucek
1|St.
1|Stanislaus
1|Stefania
1|Stolz
1|Sveinsson
3|Sweden
1|Sweelinck
1|Szczepanów
1|Szeréna
1|Szydłowski
1|Söderström
2|Tadeusz
1|Taras
1|Tavaststjerna
1|Ted
1|Thalberg
3|Theodore
2|Thomas
1|Thunberg
1|Todor
1|Torgny
1|Tétart
1|US
1|Valeriy
1|Vance
1|Vasili
1|Vasiliy
1|Veit
1|Vernon
2|Vincenzo
1|Vitali
2|Viviani
2|Vladimir
1|Volnov
4|W.
1|Waldheim
1|Walshe
1|Warsaw
1|Watts
75|Where
120|Which
5|Who
3|William
1|Wooden
1|Wälterlin
1|Württemberg
1|Yashin
1|Yeten
1|York
1|Yudin
1|Yugoslavia
1|Zagreb
1|Zhivkov
3|administrative
1|are
22|as
7|at
85|burial
28|buried
7|burried
16|cemetery
5|church
1|division
1|facility
47|for
1|french
10|has
12|have
13|his/her
1|i
142|is
47|located
192|of
65|organization
13|people
11|person
120|place
1|political
35|resting
4|temple
1|terrain
3|territory
143|the
45|tomb
2|von
32|was
3|were
1|Étienne
1|Řehoř
