frequency|word
1|"""Big"
1|"""Sammy"""
1|(Oder)
1|2nd
3188|?
6|A.
2|Aaron
1|Aavatsmark
1|Abala
1|Abbas
1|Abby
1|Abd
1|Abdoulaye
1|Abdul
1|Abdulaziz
1|Abdyl
2|Abel
1|Abelardo
1|Abenov
1|Abhishek
1|Abicht
1|Abid
1|Abkhazia
4|Abraham
1|Abrams
1|Abreu
1|Abu
1|Acasuzo
1|Acebal
1|Achille-Pierre
1|Achmad
1|Aciman
1|Ackermann
1|Aclocque
1|Acres
1|Acton
1|Acuña
1|Ada
2|Adam
1|Adama
1|Adamishin
1|Adams
1|Addo
1|Ademeit
1|Adib
1|Adjei
1|Adkins
1|Adler
1|Admir
7|Adolf
1|Adolfo
1|Adolph
3|Adolphe
1|Adonai
1|Adrian
1|Adriana
2|Adrien
2|Adrián
1|Adès
1|Adéla
1|Adélaïde-Louise
1|Aeby
1|Aegir
1|Afonso
1|African
1|Afrim
1|Agathe
1|Agliè
1|Agmon
1|Agostinelli
1|Aguilar
1|Aguinagalde
1|Agulla
1|Agustoni
3|Agustín
1|Ahlwardt
1|Ahmad
1|Ahmadi
3|Ahmed
1|Ahodikpe
2|Ahrens
1|Aida
1|Aidan
1|Aigner
1|Aija
1|Ailly-sur-Noye
1|Aitken
1|Ajdukiewicz
1|Ajebitimi
1|Ajiniyazov
1|Akaba
1|Akbaba
1|Akihiko
1|Akira
1|Akopyan
1|Akst
4|Al
1|Al-Mousa
1|Al-Muziel
1|Al-Shaqran
1|Al-Sibyani
4|Alain
6|Alan
1|Alana
1|Alarcón
1|Alban
2|Albania
7|Albert
1|Albert-Magdelaine-Claude
1|Alberti
1|Albertini
9|Alberto
1|Albin
1|Albornoz
1|Alborta
1|Albrecht
1|Albuquerque
1|Albà
1|Alceo
1|Alcide
1|Aldana
1|Aldo
1|Aldunate
1|Alechenwu
2|Alejandro
2|Aleksander
4|Aleksandr
1|Alekseevitsj
1|Alessandro
1|Alessandroni
2|Alex
1|Alexa
15|Alexander
3|Alexandra
3|Alexandre
2|Alexandrowitsch
1|Alexandrowna
1|Alexandru
1|Alexei
3|Alexis
1|Alexis-Marie
1|Alfaro
3|Alfonso
11|Alfred
1|Alfredo
2|Ali
4|Alice
1|Alinsky
1|Aliona
1|Alisa
1|Alla
3|Allen
1|Allister
1|Allon
1|Alma
1|Almassy
1|Almeida
1|Almlöf
1|Almuth
1|Alois
1|Alphonse
1|Alsina
1|Alveberg
1|Alves
1|Alviach
1|Alvin
1|Alyaksandr
1|Alzheimer
1|Amable
1|Amalia
1|Amalou
1|Amaral
1|Amashe
1|Ambainis
1|Ambartsumyan
1|Amber
1|Ambersley
1|Amezcua
1|Amiguet
1|Aminuddin
1|Amit
1|Amjad
1|Amos
1|Amraei
1|Amri
1|Amulette
2|Amy
4|Ana
2|Anastasi
1|Anastasios
1|Anatoli
1|Anatoly
1|Anchundia
2|Anders
2|Andersen
3|Anderson
1|Anderssen
1|Andrada
2|Andrade
1|Andre
5|Andrea
6|Andreas
1|Andreev
1|Andreevič
1|Andrej
1|Andreotti,
2|Andreu
3|Andrew
2|Andrey
1|Andrieu
1|Andrija
1|Andris
1|Andriy
1|Andrus
2|Andrzej
1|András
9|André
1|André-Léonard
1|Andrée
1|Andrés
5|Andy
1|Anett
1|Angel
2|Angela
3|Angelo
1|Angelov
1|Angga
1|Anglada
1|Anglès
1|Anhalt-Zerbst
1|Anielak
1|Anita
1|Anke
1|Ankeren
1|Ankersen
11|Anna
7|Anne
1|Annie
1|Annik
1|Ansari
1|Anschütz
1|Anselm
1|Anselmo
1|Antal
1|Anteplioğlu
1|Anthonioz
4|Anthony
4|Antoine
1|Antolín
5|Anton
1|Antonietta
14|Antonio
1|Antons
4|Antonín
2|Antun
2|António
1|Antônio
1|Aníbal
1|Anđelković
1|Aoda
1|Apalikov
1|Apolônio
1|Aporti
2|Apostle
1|Apostolos
1|Apostolov
1|Aquinas
1|Ara
1|Aragon
1|Arai
1|Aranda
1|Arbuthnot
1|Arcangeli
1|Arcangues
1|Archduke
1|Ard
1|Arden
1|Arent
1|Argentina,
1|Aricó
1|Ariel
1|Arima
1|Ariyoshi
1|Ariño
1|Armand
1|Armen
1|Armendáriz
1|Armengol
1|Armstrong
1|Arnaldo
2|Arnaud
6|Arnold
1|Arnoldus
1|Arriaga
1|Arrué
2|Artem
12|Arthur
3|Arturo
1|Arzana,
1|Arzumanyan
1|Arévalo
1|Asbroeck
1|Ashim
1|Ashleigh
2|Ashley
1|Asia
1|Asser
1|Assier
2|Astakhov
1|Astbury
1|Atencio
1|Atestino
1|Atkinson
1|Atripaldi
1|Atsushi
1|Attila
3|Attilio
1|Atzori
1|Aubin
1|Aubrey
1|Audre
1|Augerolles
1|Augie
1|Augier
4|August
6|Auguste
1|Augusto
2|Augustus
1|Aulay
1|Aulikki
1|Aulnay-sous-Bois
1|Austin
1|Austria
1|Avenarius
1|Avni
1|Awoonor
1|Awudu
1|Axelrod
2|Aydın
1|Ayers
1|Ayuso
2|Ayık
2|Azari
1|Azeglio
1|Azimonti
1|Azrul
2|B.
1|Baarn
1|Baboo
1|Babu
1|Babych
1|Bach
1|Bacher
1|Bachmeier
1|Baculewski
1|Badel
1|Bader
1|Badr
1|Badwan
1|Baer
1|Bahamdan
1|Bailetti
1|Bailey
1|Bain-de-Bretagne
1|Bak
1|Bakakis
1|Baker
1|Bakrim
1|Bala
1|Balashov
1|Baldwin
1|Baldé
1|Balinec
1|Ball
1|Baltzer
1|Bambier
1|Banada
1|Bandrowski
1|Baneham
1|Banerjee
1|Banfield
1|Bang
1|Bani
1|Bapteur
1|Baptist
1|Baptiste
1|Baranowski
1|Baransu
5|Barbara
1|Barbauld
1|Barbet
1|Barbier
1|Barcham
1|Bardal
1|Bardem
1|Bardon
1|Bargas
1|Barley
1|Barnett
1|Barney
2|Baron
1|Baroni
1|Barranco
3|Barrera
1|Barrios
1|Barris
2|Barrow
2|Barry
1|Bartek
1|Bartholet
1|Bartholomew
3|Bartolomeo
1|Baruffaldi
1|Basilicata
1|Bassem
1|Bassetti
1|Bastos
1|Bateman
1|Bates
1|Batioja
1|Batista
1|Batlles
3|Battista
1|Batuk
1|Baud-Bovy
1|Baulon
1|Baumann
1|Baur
1|Bautista
1|Bavo
1|Bayes
1|Bayiha
1|Beale
1|Beamer
1|Beata
1|Beate
1|Beausite
1|Beautemps-Beaupré
1|Beazley
1|Bebelaar
2|Beccari
2|Beck
1|Becker
1|Becky
1|Beets
1|Behrakis
1|Behrendt
1|Beierle
1|Beijing
1|Beinart
1|Bejarano
1|Belgium
2|Belgorod
1|Belis
1|Belisario
1|Bell
1|Bella
1|Bellavoir
2|Bellini
1|Bellodi
1|Belmont
1|Below-Neufeldt
