frequency|word
1|(CheY-like)
1|(Fe-S)-binding
2|(flavodoxin)
1|(phosphorylating)
1|(quinone)
1|(uracil-5-)-methyltransferase
11|1
1|1,
1|1-acylglycerol-3-phosphate
1|1-deoxy-D-xylulose
1|1-pyrroline-5-carboxylate
1|10AD1
1|128
1|136
1|1A
4|2
1|2-epimerase
1|23S
1|26
1|27
2|2A
1|2C
4|3
1|3-hydroxybutyryl-CoA
1|3-isopropylmalate
1|3-oxoacyl-ACP
2|4
1|4'-phosphopantetheinyl
1|4-beta-N-acetylmuramidase,
2|4-hydroxy-3-methylbut-2-en-1-yl
1|4-phosphate
1|42E
1|44H
1|4B
1|4Fe-4S
1|4L
1|5
1|5'-methylthioadenosine/S-adenosylhomocysteine
2|5'-phosphate
3|5,10-methylenetetrahydrofolate
4|5-hydroxytryptamine
1|5-phosphate
1|6B
1|6K6
3|70
1|8-amino-7-oxononanoate
1|9-desaturase
200|?
2|A
1|ABC
1|ADP-ribosylation
1|AHA_0164
1|AHA_0918
1|AHA_1490
2|AMED_0970
1|AMED_2101
1|AT-rich
2|ATP-dependent
1|AglA
8|Apoptosis
1|Apoptotic
1|B
1|B1
1|BAN
1|BC4326
1|BC4996
1|BDGL_003127
2|BF4365
1|BL1060
1|BMAA0194
1|BP3753
1|BSU29840
1|BSU32130
1|BSU34570
1|BT9727_4082
2|BU046
5|Bcl-2
3|Bcl-2,
1|C-C
1|C6orf62
1|CBU_0609
1|CBU_1346
1|CLC_1525
1|Carnitine
2|Centrosomal
1|CheB
1|CheR
2|Choline/ethanolaminephosphotransferase
1|Clp
1|Cls
1|CoA
1|Cpb13
1|Cullin-4A
1|CusS
1|Cytochrome
1|D
8|D(2)
1|D-erythrose
1|D700_p35
1|DDX12
1|DNA
1|E2
1|ECIAI39_0115
1|ECL_00541
2|ECUMN_1584
1|ECUMN_2621
2|Epidermal
1|Eukaryotic
1|FKBP-type
1|FP0415
1|FP0470
2|FtsZ
1|G/H
1|GDP-L-fucose
1|GMP
1|GPR37
1|GSU3195
1|GSU3271
1|Gasdermin-C
1|Gla
1|Glyceraldehyde-3-phosphate
1|Glycine
2|Glycogen
1|GntR
2|GroEL
1|GrpE
1|Guanidinoacetate
1|H
1|H3
1|HI0543
1|HI0574
1|HI0684
1|HI0807
1|HMPREF0351_11548
1|HMPREF0351_11944
1|HMPREF0421_20919
1|HP0618
1|Heat
1|Histone
1|Histone-lysine
3|I
1|IF-2
1|II
1|III
1|IRE2
1|Ig
1|KPHS_05870
1|KPHS_21200
1|L-lactate
2|LA_2886
1|LBA1236
1|LB_290
1|Lymphocyte
1|LytC,
1|M
1|MAB_4182
1|MAGE-like
1|MCPs
1|MPN064
1|MSMEG_0384
1|MSMEG_0912
1|MSMEG_0952
1|MSMEG_2399
1|Mannose-1-phosphate
1|Matrix
1|Mb2553c
1|Meiosis-specific
1|Methionine-R-sulfoxide
1|Moth_0743
1|Moth_1718
1|Moth_2354
2|Mu-type
1|Multifunctional
1|N-(5'-phosphoribosyl)anthranilate
1|N-acetylglucosamine-6-phosphate
1|N-acetylmannosamine-6-phosphate
1|N-methyltransferase
1|N-methyltransferase,
2|NAD-dependent
3|NADH
1|NDUFA4
1|NGR_b14790
1|NGR_c10510
1|NMB0358
1|NMB0743
1|NMB0943
1|Neuronal
1|NfuA
1|O-acyltransferase
1|O-palmitoyltransferase
1|OB
2|Olfactory
1|OprB
1|PP_4964
1|PSPTO_4403
2|Peroxisomal
1|Phosphatase
1|Proepiregulin
1|Prosaposin
1|Prostaglandin
6|Proto-oncogene
1|Protocadherin
1|Putative
3|RNA
1|RSP_3194
1|RSP_4211
1|Receptor
2|Regulator
2|Retinoic
1|RnfC
1|Rru_A1896
1|Rru_A3621
1|RumA
1|Rv1695
1|Rv1697
1|Rv2471
1|S14
1|SAG1685
1|SAOUHSC_01235
1|SCO5802
1|SE1054
1|SE2166
2|SEC20
1|SID1
1|SMU_366
1|SMU_536
1|SMU_624
1|SO_4619
1|SRU_1459
1|SSA_1449
1|SSA_1711
1|SSUBM407_0421
