frequency|word
395|?
2|Albania
1|Algeria
57|America
1|America,
4|Antarctica
2|Arabia
1|Arenas
6|Australia
4|Austria
3|Bahamas
1|Bavaria
1|Belarus
4|Belgium
8|Berlin
9|Brazil
10|Canada
2|Cape
2|Chile
4|China
1|City
1|Corfu
1|Corsica
3|Crete
1|Cuba
1|Cyprus
2|Czech
1|Czechoslovakia
8|Denmark
1|Dresden
1|Egypt
2|Elbrus
1|Ethiopia
12|Europe
1|Finistère
5|Finland
49|France
1|France?
2|Gabon
29|Germany
1|Ghana
1|Greece
1|Grenada
1|Guinea
2|Hamburg
1|Harz
3|Hungary
1|Iceland
7|India
2|Iran
1|Ireland
2|Israel
1|Israel,
16|Italy
15|Japan
1|Kazakhstan
3|Kiel
18|Kingdom
1|Kingdom?
1|Kosciuszko
1|Kyrgyzstan
2|Libya
1|Liechtenstein
1|Luxembourg,
1|Macedonia
2|Malaysia
1|Massif
1|Mawson
2|Mexico
1|Monaco
3|Mount
1|Mountains
1|Mozambique
1|Myanmar
1|Nepal
8|Netherlands
2|New
4|North
1|Oman
1|Papua
1|Peak
1|Pedro
4|People's
1|Peru?
1|Philippines
7|Poland
3|Portugal
1|Potsdam
4|Prague
1|Pyrénées-Orientales
7|Republic
2|Romania
10|Russia
1|San
2|Saudi
1|Serbia
1|Singapore
2|Slovakia
2|Slovenia
9|Spain
54|States
4|Sweden
1|Switzerland
1|Syria
3|The
1|Torngat
2|Turkey
1|Ukraine
71|United
1|Upper
1|Vatican
2|Verde
6|Vienna
1|Vinson
81|What
317|Which
3|Yemen
1|Zealand
11|and
16|are
2|area
2|as
4|class
1|concept
1|de
2|geographic
2|have
321|highest
380|is
1|landforms
3|landscape
1|location
1|locations
6|mountain
457|of
69|peak
252|point
2|protected
68|terrain
11|terrains
398|the
2|their
77|zenith
